TaxID	Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
28136	Segatella oulorum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella oulorum	-	Human	BSL-2	
28141	Cronobacter sakazakii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii	-	"Arthropod,Birds,Human,Insect,Mammal,Reptile"	BSL-2	Blood;Central nervous system;Digestive system;Respiratory system;Urinary system
28172	Vibrio metschnikovii	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii	-	"Arthropod,Birds,Human"	BSL-2	
28188	Capnocytophaga canimorsus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	null	"Human,Mammal"	BSL-2	Blood
28264	Arcanobacterium haemolyticum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium haemolyticum	+	"Human,Mammal"	BSL-2	Skin/Soft tissue
28449	Neisseria subflava	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava	-	Human	null	
28450	Burkholderia pseudomallei	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	-	"Birds,Environment,Human,Mammal,Primate,Reptile,Rodent"	BSL-3	Blood;Central nervous system;Digestive system;Immune system;Respiratory system
28901	Salmonella enterica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	-	"Amphibian,Arthropod,Birds,Environment,Food,Human,Mammal,Mollusc,Plant,Primate,Reptile,Rodent,Vertebrate"	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
29311	Mycobacterium haemophilum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium haemophilum	+	Human	null	Respiratory system
29363	Clostridium paraputrificum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium paraputrificum	+	"Birds,Human,Mammal,Rodent"	BSL-2	Digestive system
29379	Staphylococcus auricularis	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus auricularis	+	"Birds,Human,Mammal"	BSL-1	Reproductive system
29382	Staphylococcus cohnii	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii	+	"Arthropod,Birds,Human,Mammal"	BSL-1	Reproductive system
29385	Staphylococcus saprophyticus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus	+	"Birds,Human,Mammal,Plant,Rodent"	BSL-2	Blood;Digestive system;Reproductive system;Urinary system
29430	Acinetobacter haemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	-	"Environment,Human"	BSL-2	Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
29459	Brucella melitensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella melitensis	-	"Human,Mammal,Rodent"	BSL-3	Blood;Bone/Joint;Cardiovascular system;Reproductive system
29461	Brucella suis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella suis	-	"Human,Mammal"	BSL-3	Blood;Reproductive system
29466	Veillonella parvula	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula	-	Human	null	Eye/Ear/Oral/Nasal
29484	Yersinia frederiksenii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii	-	"Environment,Human,Mammal"	BSL-2	
29494	Vibrio furnissii	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio furnissii	-	Human	BSL-2	
29522	Brachyspira aalborgi	Bacteria	Spirochaetota	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira aalborgi	null	Human	BSL-2	Digestive system
33033	Parvimonas micra	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra	+	Human	null	Digestive system;Respiratory system
33040	Streptococcus milleri	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus milleri	+	"Human,Rodent"	BSL-2	
33043	Coprococcus eutactus	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	+	Human	null	
33945	Enterococcus avium	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium	+	"Birds,Human,Mammal,Primate,Rodent,Vertebrate"	BSL-2	Blood;Digestive system;Skin/Soft tissue
34059	Moraxella atlantae	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Faucicola	Moraxella atlantae	-	Human	BSL-2	Blood
34105	Streptobacillus moniliformis	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus moniliformis	-	"Birds,Human,Rodent"	BSL-2	
