Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Shewanella putrefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	-	Arthropod;Human;Vertebrate	BSL-2	
Borreliella burgdorferi	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	-	Arthropod;Environment;Human;Rodent	BSL-2	Blood
Borrelia hermsii	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia hermsii	-	Human;Rodent	null	
Treponema pallidum	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	-	Human;Primate	BSL-2	Digestive system;Reproductive system
Leptospira interrogans	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	-	Amphibian;Human;Mammal;Rodent	BSL-2	
Campylobacter coli	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	-	Birds;Human;Mammal;Primate	BSL-2	Blood;Digestive system;Reproductive system
Campylobacter fetus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	-	Human;Mammal;Plant;Primate;Reptile	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Campylobacter jejuni	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	-	Birds;Food;Human;Mammal;Primate;Rodent	BSL-2	Blood;Central nervous system;Digestive system;Oncology;Reproductive system;Skin/Soft tissue;Urinary system
Campylobacter hyointestinalis	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hyointestinalis	-	Human;Mammal	BSL-2	
Campylobacter concisus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	-	Human	BSL-2	Digestive system
Campylobacter curvus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus	-	Human	BSL-2	
Campylobacter lari	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari	-	Birds;Human;Mammal;Vertebrate	BSL-2	Digestive system
Campylobacter sputorum	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sputorum	-	Human;Mammal	BSL-2	
Helicobacter pylori	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	-	Human;Mammal;Primate;Rodent	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Immune system
Helicobacter cinaedi	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	-	Birds;Human;Mammal;Rodent	BSL-2	Blood;Digestive system
Brucella abortus	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella abortus	-	Human;Mammal;Rodent	BSL-3	Blood;Reproductive system
Elizabethkingia meningoseptica	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia meningoseptica	-	Human	BSL-2	Blood;Cardiovascular system;Central nervous system;Oncology
Chryseobacterium gleum	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium gleum	null	Human	BSL-2	Respiratory system
Chryseobacterium indologenes	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes	null	Birds;Human;Vertebrate	BSL-2	Reproductive system;Respiratory system;Urinary system
Myroides odoratus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides odoratus	-	Human	null	
Francisella tularensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	-	Arthropod;Human;Insect;Mammal;Primate;Rodent;Vertebrate	BSL-3	Eye/Ear/Oral/Nasal
Pseudomonas aeruginosa	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	-	Arthropod;Birds;Environment;Fungi;Human;Insect;Mammal;Plant;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Burkholderia cepacia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	-	Environment;Human;Plant	BSL-2	Respiratory system
Pseudomonas putida	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	-	Arthropod;Birds;Fungi;Human;Mammal;Plant	BSL-2	Blood;Bone/Joint;Digestive system;Respiratory system;Urinary system
Ralstonia pickettii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	-	Human	null	Blood
Burkholderia glumae	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae	-	Environment;Human	BSL-1	
Legionella pneumophila	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	-	Environment;Human	BSL-2	Blood;Respiratory system
Legionella bozemanae	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella bozemanae	-	Human	BSL-2	
Legionella longbeachae	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella longbeachae	-	Human	BSL-2	Respiratory system
Legionella jordanis	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella jordanis	-	Human	BSL-2	
Acinetobacter baumannii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	-	Birds;Environment;Human;Insect;Mammal;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Moraxella nonliquefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens	-	Human	BSL-2	Eye/Ear/Oral/Nasal
Moraxella catarrhalis	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella catarrhalis	-	Human	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system
Neisseria cinerea	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria cinerea	-	Human	BSL-1	
Neisseria flavescens	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens	-	Human	BSL-2	Digestive system
Neisseria gonorrhoeae	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	-	Human	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Urinary system
Neisseria meningitidis	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis	-	Environment;Human	BSL-2	Blood;Central nervous system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Neisseria mucosa	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa	-	Human	BSL-2	Respiratory system
Kingella kingae	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella kingae	-	Human	BSL-2	Bone/Joint
Alcaligenes faecalis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	-	Birds;Human	null	Blood
Bordetella bronchiseptica	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	-	Birds;Human;Mammal;Rodent	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system
Bordetella parapertussis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella parapertussis	-	Human	BSL-2	Respiratory system
Bordetella pertussis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis	-	Human	BSL-2	Digestive system;Respiratory system
Brucella anthropi	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella anthropi	-	Human;Plant;Reptile	BSL-3	Blood
Eikenella corrodens	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens	-	Human	BSL-2	Bone/Joint;Eye/Ear/Oral/Nasal
Citrobacter koseri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri	-	Environment;Human;Mammal;Rodent	BSL-2	Blood;Bone/Joint;Central nervous system;Digestive system;Respiratory system;Skin/Soft tissue;Urinary system
Citrobacter freundii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	-	Amphibian;Birds;Environment;Human;Insect;Mammal;Plant;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Immune system;Oncology;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Klebsiella aerogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes	-	Arthropod;Birds;Human;Mammal;Vertebrate	BSL-2	Blood;Bone/Joint;Central nervous system;Digestive system;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Pantoea agglomerans	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	-	Human;Mammal;Plant;Reptile	BSL-3	
Enterobacter cloacae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	-	Arthropod;Birds;Human;Mammal;Plant;Primate	BSL-3	Blood;Bone/Joint;Digestive system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	-	Amphibian;Arthropod;Birds;Environment;Food;Human;Insect;Mammal;Mollusc;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Oncology;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Escherichia fergusonii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	-	Birds;Human;Mammal	null	Digestive system
Hafnia alvei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei	-	Environment;Human;Mammal	BSL-2	
Klebsiella oxytoca	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	-	Birds;Human;Insect;Mammal;Rodent	BSL-2	Blood;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Klebsiella pneumoniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	-	Amphibian;Arthropod;Birds;Environment;Food;Human;Insect;Mammal;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Oncology;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Morganella morganii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	-	Amphibian;Birds;Human;Mammal;Reptile;Rodent	BSL-2	Blood;Cardiovascular system;Central nervous system;Digestive system;Respiratory system;Skin/Soft tissue;Urinary system
Proteus mirabilis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis	-	Birds;Human;Insect;Mammal;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Proteus vulgaris	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris	-	Arthropod;Birds;Human;Mammal	BSL-2	Digestive system;Respiratory system
Providencia rettgeri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia rettgeri	-	Birds;Human;Insect;Mammal;Reptile	BSL-2	Blood;Bone/Joint;Central nervous system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Providencia stuartii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia stuartii	-	Birds;Human;Insect;Reptile;Rodent	BSL-2	Blood;Digestive system;Endocrine system;Reproductive system;Respiratory system;Urinary system
Serratia liquefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia liquefaciens	-	Birds;Fungi;Human;Mammal;Plant	BSL-2	Blood;Digestive system
Serratia marcescens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	-	Arthropod;Birds;Human;Insect;Mammal;Plant;Reptile;Rodent	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Shigella boydii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii	-	Birds;Environment;Human;Mammal	BSL-2	Digestive system
Shigella dysenteriae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	-	Human;Mammal;Primate	BSL-2	Blood;Digestive system
Shigella flexneri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	-	Arthropod;Environment;Human;Mammal;Primate;Rodent	BSL-2	Digestive system;Urinary system
Shigella sonnei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	-	Birds;Human;Mammal;Primate	BSL-2	Blood;Digestive system;Urinary system
Yersinia enterocolitica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	-	Birds;Human;Mammal;Primate;Rodent	BSL-2	Blood;Digestive system;Eye/Ear/Oral/Nasal
Yersinia intermedia	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia intermedia	-	Birds;Human;Mammal;Rodent;Vertebrate	BSL-2	
Yersinia pestis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	-	Arthropod;Human;Mammal;Rodent	BSL-3	Blood
Yersinia pseudotuberculosis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis	-	Birds;Human;Mammal;Primate;Rodent	BSL-2	Digestive system;Respiratory system
Edwardsiella tarda	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	Edwardsiella tarda	-	Amphibian;Arthropod;Human;Mammal;Reptile;Vertebrate	BSL-2	
Aeromonas hydrophila	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	-	Human;Mammal;Plant;Vertebrate	BSL-2	Blood;Digestive system;Skin/Soft tissue;Urinary system
Aeromonas caviae	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae	-	Environment;Human;Mammal;Rodent;Vertebrate	BSL-2	Blood;Central nervous system;Digestive system;Immune system;Respiratory system;Skin/Soft tissue;Urinary system
Aeromonas jandaei	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas jandaei	-	Human;Vertebrate	BSL-2	
Aeromonas media	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media	-	Food;Human;Vertebrate	BSL-1	Digestive system
Aeromonas schubertii	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas schubertii	-	Human;Vertebrate	BSL-2	
Aeromonas veronii	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	-	Birds;Food;Human;Mammal;Mollusc;Plant;Vertebrate	BSL-2	Blood;Digestive system;Respiratory system
Vibrio alginolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus	-	Arthropod;Environment;Human;Mammal;Mollusc;Reptile;Vertebrate	BSL-2	
Vibrio cholerae	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	-	Amphibian;Arthropod;Birds;Environment;Human;Mammal;Mollusc;Reptile;Vertebrate	BSL-2	Blood;Digestive system;Eye/Ear/Oral/Nasal;Urinary system
Vibrio parahaemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	-	Arthropod;Birds;Environment;Human;Mammal;Mollusc;Vertebrate	BSL-2	Digestive system;Skin/Soft tissue
Vibrio vulnificus	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	-	Arthropod;Human;Mammal;Mollusc;Reptile;Vertebrate	BSL-2	Blood;Bone/Joint;Digestive system;Skin/Soft tissue
Vibrio mimicus	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio mimicus	-	Arthropod;Environment;Human;Vertebrate	BSL-2	Digestive system
Vibrio fluvialis	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio fluvialis	-	Arthropod;Environment;Human;Vertebrate	null	Digestive system;Skin/Soft tissue
Plesiomonas shigelloides	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides	-	Amphibian;Birds;Human;Vertebrate	BSL-2	Blood;Digestive system
Aggregatibacter actinomycetemcomitans	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans	-	Human;Insect;Primate	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Skin/Soft tissue
Haemophilus haemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus	-	Human	BSL-1	Blood;Respiratory system
Haemophilus influenzae	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae	-	Human	BSL-2	Blood;Bone/Joint;Central nervous system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue
Haemophilus parainfluenzae	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae	-	Human	null	Cardiovascular system;Digestive system;Respiratory system;Urinary system
Haemophilus ducreyi	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus ducreyi	-	Human	BSL-2	Skin/Soft tissue
Haemophilus parahaemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parahaemolyticus	-	Human	BSL-2	Respiratory system
Haemophilus paraphrohaemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus paraphrohaemolyticus	-	Human	BSL-2	
Pasteurella multocida	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	+	Birds;Environment;Human;Insect;Mammal;Primate;Rodent	BSL-2	Blood;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue
Bartonella bacilliformis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella bacilliformis	-	Human	BSL-2	
Coxiella burnetii	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	-	Arthropod;Human;Mammal;Rodent	BSL-3	Reproductive system
Rickettsia conorii	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia conorii	-	Arthropod;Human;Mollusc	BSL-3	
Rickettsia prowazekii	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia prowazekii	-	Human	BSL-3	
Rickettsia rickettsii	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia rickettsii	-	Arthropod;Human	BSL-3	
Orientia tsutsugamushi	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	null	Human	BSL-3	
Rickettsia akari	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia akari	-	Human	BSL-3	
Bartonella quintana	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella quintana	-	Human;Primate	BSL-2	
Chlamydia trachomatis	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	-	Human;Primate	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Reproductive system
Bacteroides fragilis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	-	Arthropod;Birds;Human;Mammal;Primate;Rodent	BSL-2	Blood;Bone/Joint;Digestive system;Skin/Soft tissue
Porphyromonas gingivalis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	-	Human	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Fusobacterium gonidiaformans	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium gonidiaformans	-	Human	null	
Fusobacterium nucleatum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	-	Human;Mammal	BSL-2	Bone/Joint;Digestive system;Eye/Ear/Oral/Nasal
Faecalibacterium prausnitzii	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii	-	Human;Mammal	null	
Fusobacterium varium	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium	-	Human;Mammal	BSL-2	Digestive system
Fusobacterium necrophorum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum	-	Human;Mammal	BSL-2	Digestive system;Respiratory system
Fusobacterium periodonticum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum	-	Human	null	
Fusobacterium ulcerans	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium ulcerans	-	Birds;Human;Mammal	BSL-2	
Ehrlichia chaffeensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	-	Human	BSL-2	
Anaplasma phagocytophilum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma phagocytophilum	-	Arthropod;Human;Mammal	BSL-2	
Capnocytophaga sputigena	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena	null	Human	BSL-2	
Afipia clevelandensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia clevelandensis	-	Human	BSL-2	
Afipia felis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia felis	-	Human	BSL-2	
Peptostreptococcus anaerobius	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	+	Human	BSL-2	
Sarcina ventriculi	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Sarcina	Sarcina ventriculi	+	Human;Mammal;Primate	BSL-1	
Micrococcus luteus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	+	Human;Mammal;Vertebrate	BSL-1	
Staphylococcus aureus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	+	Arthropod;Birds;Environment;Food;Human;Mammal;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Oncology;Reproductive system;Respiratory system;Skin;Skin/Soft tissue;Urinary system
Staphylococcus epidermidis	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	+	Birds;Human;Insect;Mammal;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Skin/Soft tissue;Urinary system
