Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Lactobacillus jensenii	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	+	Human	BSL-1	
Streptococcus australis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	+	Human;Primate	BSL-2	Eye/Ear/Oral/Nasal
Nocardia abscessus	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia abscessus	+	Human	BSL-2	
Haemophilus quentini	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus quentini	-	Human	null	Blood
Helicobacter canadensis	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis	-	Human	BSL-2	
Bordetella trematum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella trematum	-	Human;Mammal	BSL-2	
Providencia alcalifaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia alcalifaciens	-	Human;Insect;Mammal;Rodent	BSL-2	Digestive system
Citrobacter youngae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter youngae	-	Birds;Environment;Human	BSL-2	Respiratory system
Corynebacterium freneyi	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium freneyi	+	Human	BSL-2	
Acinetobacter parvus	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter parvus	-	Human;Rodent	BSL-2	Blood;Respiratory system
Mycolicibacterium goodii	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium goodii	+	Human	null	
Ureaplasma parvum	Bacteria	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Ureaplasma	Ureaplasma parvum	+	Human	null	Reproductive system;Urinary system
Clostridium neonatale	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium neonatale	+	Human	null	
Streptococcus lutetiensis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis	+	Human;Primate	BSL-2	Cardiovascular system;Digestive system
Burkholderia dolosa	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia dolosa	-	Human	BSL-2	Central nervous system;Respiratory system
Hungatella hathewayi	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella hathewayi	+	Human;Mammal;Rodent	BSL-1	
Cedecea davisae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea davisae	-	Human	BSL-2	Bone/Joint
Cedecea neteri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea neteri	-	Human	BSL-2	
Enterobacter hormaechei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei	-	Arthropod;Birds;Environment;Human;Mammal;Plant;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Microbacterium hominis	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium hominis	-	Human	BSL-2	
Segatella copri	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella copri	-	Human;Mammal	BSL-1	Bone/Joint
Corynebacterium aurimucosum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum	+	Human	BSL-1	Respiratory system
Staphylococcus pettenkoferi	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pettenkoferi	+	Human	BSL-2	
Streptococcus sinensis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sinensis	+	Human	BSL-2	
Aeromonas dhakensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis	-	Arthropod;Human;Plant;Reptile;Vertebrate	BSL-2	Blood;Bone/Joint;Digestive system;Respiratory system
Haemophilus aegyptius	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus aegyptius	-	Human	BSL-2	
Streptococcus pasteurianus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus	+	Birds;Human;Mammal	BSL-2	Cardiovascular system;Central nervous system
Pseudomonas koreensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas koreensis	-	Human;Mammal;Plant	BSL-1	
Enterobacter kobei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	-	Birds;Human;Insect;Mammal	BSL-2	Blood;Digestive system;Respiratory system;Urinary system
Escherichia albertii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii	-	Birds;Human;Mammal	null	Blood;Digestive system;Respiratory system
Comamonas aquatica	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas aquatica	-	Human;Vertebrate	null	
Nocardia higoensis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia higoensis	+	Human	BSL-1	
Segatella salivae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella salivae	-	Human	BSL-2	Respiratory system
Hallella bergensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hallella	Hallella bergensis	-	Human	BSL-2	
Klebsiella variicola	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola	-	Birds;Environment;Human;Insect;Mammal;Plant;Rodent	BSL-2	Blood;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Streptococcus halichoeri	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus halichoeri	+	Human;Mammal	BSL-2	Skin/Soft tissue
Streptococcus pseudopneumoniae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudopneumoniae	+	Human	BSL-2	Blood;Central nervous system;Respiratory system
Neisseria bacilliformis	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria bacilliformis	-	Human	BSL-2	
Acinetobacter colistiniresistens	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	-	Human	BSL-2	Blood;Skin/Soft tissue
Acinetobacter courvalinii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter courvalinii	-	Human;Reptile	BSL-2	Blood
Prevotella multiformis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella multiformis	-	Human	BSL-2	
Enterobacter ludwigii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii	-	Birds;Human;Insect;Mammal;Vertebrate	BSL-2	Blood;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue;Urinary system
Segatella baroniae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella baroniae	-	Human	BSL-2	
Bacteroides pyogenes	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides pyogenes	-	Human;Mammal	BSL-2	
Streptococcus gallolyticus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus	+	Human;Mammal	BSL-2	Cardiovascular system;Digestive system
Neisseria animaloris	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria animaloris	-	Human	BSL-2	
Mycobacterium colombiense	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium colombiense	+	Human	null	Blood
